naics_code,industry_description,firm_size,number_of_firms
11,"Agriculture, Forestry, Fishing and Hunting",1-4 employees,15913
11,"Agriculture, Forestry, Fishing and Hunting",4-9 employees,3527
11,"Agriculture, Forestry, Fishing and Hunting",10-19 employees,1706
11,"Agriculture, Forestry, Fishing and Hunting",20-99 employees,1132
11,"Agriculture, Forestry, Fishing and Hunting",100-499 employees,208
11,"Agriculture, Forestry, Fishing and Hunting",500+ employees,101
113,Forestry and Logging,1-4 employees,5042
113,Forestry and Logging,4-9 employees,1755
113,Forestry and Logging,10-19 employees,876
113,Forestry and Logging,20-99 employees,415
113,Forestry and Logging,100-499 employees,22
113,Forestry and Logging,500+ employees,25
1131,Timber Tract Operations,1-4 employees,331
1131,Timber Tract Operations,4-9 employees,70
1131,Timber Tract Operations,10-19 employees,28
1131,Timber Tract Operations,20-99 employees,18
1131,Timber Tract Operations,100-499 employees,3
1131,Timber Tract Operations,500+ employees,12
11311,Timber Tract Operations,1-4 employees,331
11311,Timber Tract Operations,4-9 employees,70
11311,Timber Tract Operations,10-19 employees,28
11311,Timber Tract Operations,20-99 employees,18
11311,Timber Tract Operations,100-499 employees,3
11311,Timber Tract Operations,500+ employees,12
113110,Timber Tract Operations,1-4 employees,331
113110,Timber Tract Operations,4-9 employees,70
113110,Timber Tract Operations,10-19 employees,28
113110,Timber Tract Operations,20-99 employees,18
113110,Timber Tract Operations,100-499 employees,3
113110,Timber Tract Operations,500+ employees,12
1132,Forest Nurseries and Gathering of Forest Products,1-4 employees,139
1132,Forest Nurseries and Gathering of Forest Products,4-9 employees,22
1132,Forest Nurseries and Gathering of Forest Products,10-19 employees,10
1132,Forest Nurseries and Gathering of Forest Products,20-99 employees,4
1132,Forest Nurseries and Gathering of Forest Products,500+ employees,3
11321,Forest Nurseries and Gathering of Forest Products,1-4 employees,139
11321,Forest Nurseries and Gathering of Forest Products,4-9 employees,22
11321,Forest Nurseries and Gathering of Forest Products,10-19 employees,10
11321,Forest Nurseries and Gathering of Forest Products,20-99 employees,4
11321,Forest Nurseries and Gathering of Forest Products,500+ employees,3
113210,Forest Nurseries and Gathering of Forest Products,1-4 employees,139
113210,Forest Nurseries and Gathering of Forest Products,4-9 employees,22
113210,Forest Nurseries and Gathering of Forest Products,10-19 employees,10
113210,Forest Nurseries and Gathering of Forest Products,20-99 employees,4
113210,Forest Nurseries and Gathering of Forest Products,500+ employees,3
1133,Logging,1-4 employees,4572
1133,Logging,4-9 employees,1663
1133,Logging,10-19 employees,838
1133,Logging,20-99 employees,393
1133,Logging,100-499 employees,17
1133,Logging,500+ employees,14
11331,Logging,1-4 employees,4572
11331,Logging,4-9 employees,1663
11331,Logging,10-19 employees,838
11331,Logging,20-99 employees,393
11331,Logging,100-499 employees,17
11331,Logging,500+ employees,14
113310,Logging,1-4 employees,4572
113310,Logging,4-9 employees,1663
113310,Logging,10-19 employees,838
113310,Logging,20-99 employees,393
113310,Logging,100-499 employees,17
113310,Logging,500+ employees,14
114,"Fishing, Hunting and Trapping",1-4 employees,2760
114,"Fishing, Hunting and Trapping",4-9 employees,143
114,"Fishing, Hunting and Trapping",10-19 employees,55
114,"Fishing, Hunting and Trapping",20-99 employees,41
114,"Fishing, Hunting and Trapping",100-499 employees,13
114,"Fishing, Hunting and Trapping",500+ employees,3
1141,Fishing,1-4 employees,2464
1141,Fishing,4-9 employees,81
1141,Fishing,10-19 employees,34
1141,Fishing,20-99 employees,26
1141,Fishing,100-499 employees,11
11411,Fishing,1-4 employees,2464
11411,Fishing,4-9 employees,81
11411,Fishing,10-19 employees,34
11411,Fishing,20-99 employees,26
11411,Fishing,100-499 employees,11
114111,Finfish Fishing,1-4 employees,1409
114111,Finfish Fishing,4-9 employees,52
114111,Finfish Fishing,10-19 employees,21
114111,Finfish Fishing,20-99 employees,13
114111,Finfish Fishing,100-499 employees,9
114112,Shellfish Fishing,1-4 employees,958
114112,Shellfish Fishing,4-9 employees,24
114112,Shellfish Fishing,10-19 employees,12
